Title,Pop
His Girl Friday (1940),3
Around the World in 80 Days (1956),3
It's a Wonderful Life (1946),4
Mr. Smith Goes to Washington (1939),3
Bringing Up Baby (1938),4
Penny Serenade (1941),1
"Scarlet Letter, The (1926)",1
Lady of Burlesque (1943),0
Of Human Bondage (1934),1
Angel on My Shoulder (1946),1
Little Lord Fauntleroy (1936),1
They Made Me a Criminal (1939),0
"Inspector General, The (1949)",1
Angel and the Badman (1947),1
"39 Steps, The (1935)",3
"Walk in the Sun, A (1945)",0
"Outlaw, The (1943)",1
Night of the Living Dead (1968),4
"African Queen, The (1951)",4
Beat the Devil (1954),1
Cat on a Hot Tin Roof (1958),3
"Last Time I Saw Paris, The (1954)",0
Meet John Doe (1941),2
Algiers (1938),0
Something to Sing About (1937),0
"Farewell to Arms, A (1932)",1
Moonlight Murder (1936),0
"Blue Angel, The (Blaue Engel, Der) (1930)",2
Nothing Personal (1995),0
In the Line of Duty 2 (1987),0
Dangerous Ground (1997),0
Picnic (1955),2
Madagascar Skin (1995),0
"Pompatus of Love, The (1996)",1
Small Wonders (1996),0
Fly Away Home (1996),3
Bliss (1997),1
Grace of My Heart (1996),2
Schlafes Bruder (Brother of Sleep) (1995),0
Maximum Risk (1996),1
Michael Collins (1996),2
"Rich Man's Wife, The (1996)",1
Infinity (1996),0
Big Night (1996),4
Last Man Standing (1996),3
Caught (1996),1
Set It Off (1996),2
2 Days in the Valley (1996),3
Curdled (1996),1
"Associate, The (L'Associe)(1982)",0
Ed's Next Move (1996),0
Extreme Measures (1996),2
"Glimmer Man, The (1996)",2
D3: The Mighty Ducks (1996),2
"Chamber, The (1996)",2
"Apple Dumpling Gang, The (1975)",3
"Davy Crockett, King of the Wild Frontier (1955)",2
Escape to Witch Mountain (1975),3
"Love Bug, The (1969)",3
Herbie Rides Again (1974),2
Old Yeller (1957),3
"Parent Trap, The (1961)",3
Pollyanna (1960),2
Homeward Bound: The Incredible Journey (1993),3
"Shaggy Dog, The (1959)",2
Swiss Family Robinson (1960),3
That Darn Cat! (1965),2
"20,000 Leagues Under the Sea (1954)",4
Cool Runnings (1993),3
Angels in the Outfield (1994),3
Cinderella (1950),4
Winnie the Pooh and the Blustery Day (1968),3
"Three Caballeros, The (1945)",2
"Sword in the Stone, The (1963)",3
So Dear to My Heart (1949),0
Robin Hood: Prince of Thieves (1991),3
Mary Poppins (1964),4
Dumbo (1941),4
Pete's Dragon (1977),3
Bedknobs and Broomsticks (1971),3
Alice in Wonderland (1951),4
"Fox and the Hound, The (1981)",3
Freeway (1996),2
"Sound of Music, The (1965)",4
Die Hard (1988),4
"Lawnmower Man, The (1992)",4
Unhook the Stars (1996),0
Synthetic Pleasures (1995),0
"Secret Agent, The (1996)",0
Secrets & Lies (1996),4
That Thing You Do! (1996),4
To Gillian on Her 37th Birthday (1996),2
Surviving Picasso (1996),1
Love Is All There Is (1996),0
Beautiful Thing (1996),2
"Long Kiss Goodnight, The (1996)",4
"Ghost and the Darkness, The (1996)",4
Looking for Richard (1996),2
Trees Lounge (1996),2
"Proprietor, The (1996)",0
Normal Life (1996),1
Get on the Bus (1996),2
Shadow Conspiracy (1997),1
Jude (1996),1
Everyone Says I Love You (1996),3
Bitter Sugar (Azucar Amargo) (1996),0
William Shakespeare's Romeo and Juliet (1996),4
Swingers (1996),4
Sleepers (1996),3
"Sunchaser, The (1996)",0
Johns (1996),1
Aladdin and the King of Thieves (1996),3
"Woman in Question, The (1950)",0
Shall We Dance? (1937),3
"Damsel in Distress, A (1937)",1
Crossfire (1947),1
"Murder, My Sweet (1944)",2
Macao (1952),0
For the Moment (1994),0
Willy Wonka and the Chocolate Factory (1971),4
"Sexual Life of the Belgians, The (1994)",0
"Innocents, The (1961)",1
Sleeper (1973),4
Bananas (1971),3
"Fish Called Wanda, A (1988)",4
Monty Python's Life of Brian (1979),4
Victor/Victoria (1982),4
"Candidate, The (1972)",2
"Great Race, The (1965)",2
Bonnie and Clyde (1967),4
"Old Man and the Sea, The (1958)",2
Dial M for Murder (1954),3
Madame Butterfly (1995),1
Dirty Dancing (1987),4
Reservoir Dogs (1992),4
Platoon (1986),4
Weekend at Bernie's (1989),3
Basic Instinct (1992),4
"Doors, The (1991)",4
"Crying Game, The (1992)",4
Glengarry Glen Ross (1992),4
Sophie's Choice (1982),3
E.T. the Extra-Terrestrial (1982),4
"Search for One-eye Jimmy, The (1996)",0
"Christmas Carol, A (1938)",3
Days of Thunder (1990),4
Top Gun (1986),4
American Strays (1996),0
Rebel Without a Cause (1955),3
"Streetcar Named Desire, A (1951)",4
Children of the Corn IV: The Gathering (1996),1
"Leopard Son, The (1996)",0
Loser (1991),0
Prerokbe Ognja (1995),0
Charm's Incidents (1996),0
Bird of Prey (1996),0
Microcosmos (Microcosmos: Le peuple de l'herbe) (1996),2
Palookaville (1996),1
"Associate, The (1996)",1
"Funeral, The (1996)",1
Sleepover (1995),0
"Single Girl, A (La Fille Seule) (1995)",1
"Eighth Day, The (Le Huitième jour ) (1996)",0
Tashunga (1995),0
Drunks (1997),1
"People vs. Larry Flynt, The (1996)",4
Glory Daze (1996),0
Plutonium Circus (1995),0
"Perfect Candidate, A (1996)",1
On Golden Pond (1981),3
"Return of the Pink Panther, The (1974)",3
Drop Dead Fred (1991),3
"Abyss, The (1989)",4
"Fog, The (1980)",2
Escape from New York (1981),4
"Howling, The (1980)",3
Jean de Florette (1986),3
Manon of the Spring (Manon des sources) (1986),3
Talking About Sex (1994),0
Johnny 100 Pesos (1993),0
Private Benjamin (1980),3
Monty Python and the Holy Grail (1974),4
Hustler White (1996),0
Dadetown (1995),0
Everything Relative (1996),0
Entertaining Angels: The Dorothy Day Story (1996),0
Hoogste tijd (1995),0
Get Over It (1996),0
Three Lives and Only One Death (1996),0
"Line King: Al Hirschfeld, The (1996)",0
Snowriders (1996),0
Curtis's Charm (1995),0
When We Were Kings (1996),3
"Wrong Trousers, The (1993)",4
JLG/JLG - autoportrait de décembre (1994),0
"Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)",2
Faust (1994),1
He Walked by Night (1948),1
Raw Deal (1948),0
T-Men (1947),0
"Invitation, The (Zaproszenie) (1986)",0
"Children Are Watching us, The (Bambini ci guardano, I) (1942)",0
"Symphonie pastorale, La (1946)",0
Here Comes Cookie (1935),0
Love in Bloom (1935),0
Six of a Kind (1934),0
"Tin Drum, The (Blechtrommel, Die) (1979)",2
"Ruling Class, The (1972)",2
Mina Tannenbaum (1994),1
Two or Three Things I Know About Her (1966),0
"Bloody Child, The (1996)",0
Farmer & Chase (1995),0
Dear God (1996),2
Bad Moon (1996),1
American Dream (1990),1
Best of the Best 3: No Turning Back (1995),1
Bob Roberts (1992),4
Cinema Paradiso (1988),4
"Cook the Thief His Wife & Her Lover, The (1989)",3
Grosse Fatigue (1994),0
Delicatessen (1991),3
"Double Life of Veronique, The (La Double Vie de Véronique) (1991)",2
Enchanted April (1991),2
Paths of Glory (1957),3
"Grifters, The (1990)",4
Hear My Song (1991),1
"Shooter, The (1995)",0
"English Patient, The (1996)",4
Mediterraneo (1991),2
My Left Foot (1989),4
"Sex, Lies, and Videotape (1989)",4
Passion Fish (1992),2
Strictly Ballroom (1992),4
"Thin Blue Line, The (1988)",3
Tie Me Up! Tie Me Down! (1990),2
Madonna: Truth or Dare (1991),3
Paris Is Burning (1990),2
One Flew Over the Cuckoo's Nest (1975),4
Up in Smoke (1978),3
Star Wars: Episode V - The Empire Strikes Back (1980),4
"Princess Bride, The (1987)",4
Raiders of the Lost Ark (1981),4
Brazil (1985),4
Aliens (1986),4
"Good, The Bad and The Ugly, The (1966)",4
Withnail and I (1987),2
12 Angry Men (1957),4
Lawrence of Arabia (1962),4
"Transformers: The Movie, The (1986)",3
"Clockwork Orange, A (1971)",4
To Kill a Mockingbird (1962),4
Apocalypse Now (1979),4
Once Upon a Time in the West (1969),2
Star Wars: Episode VI - Return of the Jedi (1983),4
Wings of Desire (Der Himmel über Berlin) (1987),3
"Third Man, The (1949)",4
GoodFellas (1990),4
Alien (1979),4
Army of Darkness (1993),4
"Big Blue, The (Le Grand Bleu) (1988)",2
Ran (1985),3
"Killer, The (Die xue shuang xiong) (1989)",3
Psycho (1960),4
"Blues Brothers, The (1980)",4
"Godfather: Part II, The (1974)",4
Full Metal Jacket (1987),4
"Grand Day Out, A (1992)",4
Henry V (1989),4
Amadeus (1984),4
"Quiet Man, The (1952)",3
Once Upon a Time in America (1984),3
Raging Bull (1980),4
Annie Hall (1977),4
"Right Stuff, The (1983)",4
Stalker (1979),1
"Boat, The (Das Boot) (1981)",4
"Sting, The (1973)",4
Harold and Maude (1971),4
Trust (1990),2
"Seventh Seal, The (Sjunde inseglet, Det) (1957)",3
Local Hero (1983),3
"Terminator, The (1984)",4
Braindead (1992),2
Glory (1989),4
Rosencrantz and Guildenstern Are Dead (1990),3
Manhattan (1979),4
Miller's Crossing (1990),3
Dead Poets Society (1989),4
"Graduate, The (1967)",4
Touch of Evil (1958),4
Nikita (La Femme Nikita) (1990),4
"Bridge on the River Kwai, The (1957)",4
8 1/2 (1963),3
Chinatown (1974),4
"Day the Earth Stood Still, The (1951)",4
"Treasure of the Sierra Madre, The (1948)",4
Bad Taste (1987),1
Duck Soup (1933),4
Better Off Dead... (1985),4
"Shining, The (1980)",4
Stand by Me (1986),4
M (1931),3
Evil Dead II (Dead By Dawn) (1987),4
"Great Escape, The (1963)",4
"Deer Hunter, The (1978)",4
Diva (1981),3
Groundhog Day (1993),4
Unforgiven (1992),4
"Manchurian Candidate, The (1962)",4
Pump Up the Volume (1990),3
Arsenic and Old Lace (1944),4
Back to the Future (1985),4
Fried Green Tomatoes (1991),4
Patton (1970),4
Down by Law (1986),2
Akira (1988),4
Highlander (1986),4
Cool Hand Luke (1967),4
Cyrano de Bergerac (1990),3
Young Frankenstein (1974),4
Night on Earth (1991),3
Raise the Red Lantern (1991),3
"Great Dictator, The (1940)",3
Fantasia (1940),4
High Noon (1952),3
"Big Sleep, The (1946)",4
Heathers (1989),4
Somewhere in Time (1980),3
Ben-Hur (1959),4
This Is Spinal Tap (1984),4
Koyaanisqatsi (1983),3
Some Kind of Wonderful (1987),3
Indiana Jones and the Last Crusade (1989),4
Being There (1979),4
Gandhi (1982),4
M*A*S*H (1970),4
"Unbearable Lightness of Being, The (1988)",3
"Room with a View, A (1986)",4
Real Genius (1985),4
Pink Floyd - The Wall (1982),3
"Killing Fields, The (1984)",4
My Life as a Dog (Mitt liv som hund) (1985),3
Forbidden Planet (1956),3
Field of Dreams (1989),4
"Man Who Would Be King, The (1975)",3
Butch Cassidy and the Sundance Kid (1969),4
"Paris, Texas (1984)",2
Until the End of the World (Bis ans Ende der Welt) (1991),2
When Harry Met Sally... (1989),4
I Shot a Man in Vegas (1995),0
Parallel Sons (1995),0
Hype! (1996),1
Santa with Muscles (1996),0
Female Perversions (1996),1
Mad Dog Time (1996),0
Breathing Room (1996),0
Paris Was a Woman (1995),0
Anna (1996),0
I'm Not Rappaport (1996),1
Blue Juice (1995),0
Kids of Survival (1993),0
Alien³ (1992),4
"American Werewolf in London, An (1981)",4
Amityville 1992: It's About Time (1992),1
Amityville 3-D (1983),1
Amityville: Dollhouse (1996),1
Amityville: A New Generation (1993),1
Amityville II: The Possession (1982),1
"Amityville Horror, The (1979)",3
"Amityville Curse, The (1990)",1
Blood For Dracula (Andy Warhol's Dracula) (1974),1
April Fool's Day (1986),2
Audrey Rose (1977),1
"Believers, The (1987)",2
"Birds, The (1963)",4
"Blob, The (1958)",3
Blood Beach (1981),1
Body Parts (1991),1
"Body Snatcher, The (1945)",1
Bram Stoker's Dracula (1992),4
Bride of Frankenstein (1935),3
Burnt Offerings (1976),1
Candyman (1992),3
Cape Fear (1991),4
Cape Fear (1962),3
Carrie (1976),4
Cat People (1982),2
"Nightmare on Elm Street, A (1984)",4
"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)",3
Nosferatu a Venezia (1986),0
"Omen, The (1976)",3
Blood & Wine (1997),1
Albino Alligator (1996),2
"Mirror Has Two Faces, The (1996)",3
Breaking the Waves (1996),3
Nightwatch (1997),2
Star Trek: First Contact (1996),4
Shine (1996),4
Sling Blade (1996),4
Jingle All the Way (1996),3
Identification of a Woman (Identificazione di una donna) (1982),0
Paradise Lost: The Child Murders at Robin Hood Hills (1996),2
"Garden of Finzi-Contini, The (Giardino dei Finzi-Contini, Il) (1970)",2
"Preacher's Wife, The (1996)",2
Zero Kelvin (Kjærlighetens kjøtere) (1995),0
Ridicule (1996),1
"Crucible, The (1996)",2
101 Dalmatians (1996),3
"Forbidden Christ, The (Cristo proibito, Il) (1950)",0
I Can't Sleep (J'ai pas sommeil) (1994),0
Die Hard 2 (1990),4
Star Trek: The Motion Picture (1979),4
Star Trek VI: The Undiscovered Country (1991),4
Star Trek V: The Final Frontier (1989),4
Star Trek: The Wrath of Khan (1982),4
Star Trek III: The Search for Spock (1984),4
Star Trek IV: The Voyage Home (1986),4
Batman Returns (1992),4
Young Guns (1988),4
Young Guns II (1990),3
Grease (1978),4
Grease 2 (1982),3
Marked for Death (1990),2
Adrenalin: Fear the Rush (1996),0
"Substance of Fire, The (1996)",0
Under Siege (1992),4
Terror in a Texas Town (1958),0
Jaws (1975),4
Jaws 2 (1978),3
Jaws 3-D (1983),3
My Fellow Americans (1996),2
Mars Attacks! (1996),4
Citizen Ruth (1996),3
Jerry Maguire (1996),4
Raising Arizona (1987),4
Tin Men (1987),3
Sneakers (1992),4
Bastard Out of Carolina (1996),1
In Love and War (1996),1
Marvin's Room (1996),2
Somebody is Waiting (1996),0
Ghosts of Mississippi (1996),2
Night Falls on Manhattan (1997),2
Beavis and Butt-head Do America (1996),4
"Cérémonie, La (1995)",1
Scream (1996),4
"Last of the Mohicans, The (1992)",4
Michael (1996),3
"Evening Star, The (1996)",2
Hamlet (1996),3
Some Mother's Son (1996),1
"Whole Wide World, The (1996)",1
Mother (1996),2
"Thieves (Voleurs, Les) (1996)",1
Evita (1996),3
"Portrait of a Lady, The (1996)",1
Walkabout (1971),2
Message to Love: The Isle of Wight Festival (1996),0
Grateful Dead (1995),1
Murder at 1600 (1997),3
Hearts and Minds (1996),0
Inside (1996),0
Fierce Creatures (1997),2
Zeus and Roxanne (1997),1
Turbulence (1997),1
Angel Baby (1995),1
Jackie Chan's First Strike (1996),3
Underworld (1997),0
Beverly Hills Ninja (1997),3
Metro (1997),2
"Machine, The (1994)",0
"Stranger, The (1994)",0
Falling in Love Again (1980),0
"Cement Garden, The (1993)",1
Dante's Peak (1997),3
Meet Wally Sparks (1997),1
Amos & Andrew (1993),2
Benny & Joon (1993),4
Prefontaine (1997),2
"Tickle in the Heart, A (1996)",0
Guantanamera (1994),0
McHale's Navy (1997),2
Kolya (1996),3
Gridlock'd (1997),1
Fire on the Mountain (1996),0
Waiting for Guffman (1996),4
Prisoner of the Mountains (Kavkazsky Plennik) (1996),0
"Beautician and the Beast, The (1997)",2
SubUrbia (1997),2
Hotel de Love (1996),1
"Pest, The (1997)",1
Fools Rush In (1997),3
Touch (1997),1
Absolute Power (1997),3
That Darn Cat! (1997),2
Vegas Vacation (1997),3
Unforgotten: Twenty-Five Years After Willowbrook (1996),0
That Old Feeling (1997),1
Lost Highway (1997),2
Rosewood (1997),2
Donnie Brasco (1997),4
Salut cousin! (1996),0
Booty Call (1997),2
Rhyme & Reason (1997),0
Boys Life 2 (1997),0
City of Industry (1997),1
Best Men (1997),1
Jungle2Jungle (a.k.a. Jungle 2 Jungle) (1997),2
Kama Sutra: A Tale of Love (1996),2
Private Parts (1997),4
Love Jones (1997),1
"Saint, The (1997)",4
Smilla's Sense of Snow (1997),3
"Van, The (1996)",1
Crash (1996),2
"Daytrippers, The (1996)",2
Liar Liar (1997),4
"Quiet Room, The (1996)",0
Selena (1997),2
"Devil's Own, The (1997)",3
Cats Don't Dance (1997),1
B*A*P*S (1997),1
Love and Other Catastrophes (1996),1
"Sixth Man, The (1997)",1
Turbo: A Power Rangers Movie (1997),1
Anna Karenina (1997),1
Double Team (1997),1
Inventing the Abbotts (1997),2
Anaconda (1997),3
Grosse Pointe Blank (1997),4
Keys to Tulsa (1997),1
Kissed (1996),0
8 Heads in a Duffel Bag (1997),2
Hollow Reed (1996),0
Paradise Road (1997),1
Traveller (1997),1
All Over Me (1997),1
"Brother's Kiss, A (1997)",0
A Chef in Love (1996),1
Romy and Michele's High School Reunion (1997),4
Temptress Moon (Feng Yue) (1996),0
Volcano (1997),3
Children of the Revolution (1996),1
Austin Powers: International Man of Mystery (1997),4
Breakdown (1997),3
Broken English (1996),0
Commandments (1997),0
Ripe (1996),0
"Truth or Consequences, N.M. (1997)",1
"Turning, The (1992)",0
Warriors of Virtue (1997),1
Fathers' Day (1997),2
"Fifth Element, The (1997)",4
Intimate Relations (1996),0
Nowhere (1997),1
Losing Chase (1996),0
Sprung (1997),0
"Promise, The (La Promesse) (1996)",1
"Bonheur, Le (1965)",0
Love! Valour! Compassion! (1997),2
Shall We Dance? (Shall We Dansu?) (1996),3
"Second Jungle Book: Mowgli & Baloo, The (1997)",0
Twin Town (1997),0
Addicted to Love (1997),3
Brassed Off (1996),3
"Designated Mourner, The (1997)",0
"Lost World: Jurassic Park, The (1997)",4
Ponette (1996),2
Schizopolis (1996),1
Shiloh (1997),1
"War at Home, The (1996)",0
Rough Magic (1995),1
Trial and Error (1997),2
Buddy (1997),1
Con Air (1997),4
Late Bloomers (1996),0
"Pillow Book, The (1995)",2
"To Have, or Not (1995)",0
Speed 2: Cruise Control (1997),3
Squeeze (1996),0
Sudden Manhattan (1996),0
"Next Step, The (1995)",0
Wedding Bell Blues (1996),0
Batman & Robin (1997),4
Dream With the Fishes (1997),1
Roseanna's Grave (For Roseanna) (1997),1
Head Above Water (1996),1
Hercules (1997),4
"Last Time I Committed Suicide, The (1997)",0
MURDER and murder (1996),0
My Best Friend's Wedding (1997),4
Tetsuo II: Body Hammer (1992),1
When the Cats Away (Chacun cherche son chat) (1996),1
Contempt (Le Mépris) (1963),1
Face/Off (1997),4
Fall (1997),0
Gabbeh (1996),0
Mondo (1996),0
"Innocent Sleep, The (1995)",0
For Ever Mozart (1996),0
Men in Black (1997),4
Out to Sea (1997),1
Wild America (1997),1
"Simple Wish, A (1997)",1
Contact (1997),4
Love Serenade (1996),1
G.I. Jane (1997),4
Conan the Barbarian (1982),4
George of the Jungle (1997),3
Cop Land (1997),4
Event Horizon (1997),4
Spawn (1997),4
Air Bud (1997),2
Picture Perfect (1997),2
In the Company of Men (1997),3
Free Willy 3: The Rescue (1997),2
Career Girls (1997),1
Conspiracy Theory (1997),4
Desperate Measures (1998),2
Steel (1997),2
She's So Lovely (1997),2
Hoodlum (1997),2
Leave It to Beaver (1997),1
Mimic (1997),3
Money Talks (1997),2
Excess Baggage (1997),2
Kull the Conqueror (1997),2
Air Force One (1997),4
187 (1997),1
"Hunt for Red October, The (1990)",4
My Own Private Idaho (1991),3
"Kiss Me, Guido (1997)",1
Star Maps (1997),1
In & Out (1997),4
"Edge, The (1997)",3
"Peacemaker, The (1997)",3
L.A. Confidential (1997),4
Seven Years in Tibet (1997),3
Kiss the Girls (1997),3
Soul Food (1997),2
Kicked in the Head (1997),0
Wishmaster (1997),2
"Thousand Acres, A (1997)",1
"Game, The (1997)",4
Fire Down Below (1997),2
U Turn (1997),3
"Locusts, The (1997)",0
"MatchMaker, The (1997)",2
"Lay of the Land, The (1997)",0
"Assignment, The (1997)",1
"Smile Like Yours, A (1997)",1
Ulee's Gold (1997),3
"Ice Storm, The (1997)",4
Stag (1997),0
Chasing Amy (1997),4
How to Be a Player (1997),2
"Full Monty, The (1997)",4
Indian Summer (a.k.a. Alive & Kicking) (1996),2
"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",3
I Know What You Did Last Summer (1997),4
"Devil's Advocate, The (1997)",4
Rocket Man (1997),2
Playing God (1997),2
"House of Yes, The (1997)",3
"Fast, Cheap & Out of Control (1997)",3
Washington Square (1997),1
Telling Lies in America (1997),1
Year of the Horse (1997),0
Gattaca (1997),4
FairyTale: A True Story (1997),2
Phantoms (1998),2
Swept from the Sea (1997),0
Wonderland (1997),1
"Life Less Ordinary, A (1997)",2
Hurricane Streets (1998),0
Eve's Bayou (1997),3
Switchback (1997),2
Gang Related (1997),1
Stripes (1981),4
Nénette et Boni (1996),0
Bean (1997),3
Hugo Pool (1997),1
Mad City (1997),2
One Night Stand (1997),1
"Tango Lesson, The (1997)",1
Welcome To Sarajevo (1997),2
Deceiver (1997),1
"Rainmaker, The (1997)",3
Boogie Nights (1997),4
Witness (1985),4
Incognito (1997),0
Starship Troopers (1997),4
Critical Care (1997),1
"Joy Luck Club, The (1993)",4
Chairman of the Board (1998),1
Sliding Doors (1998),4
Mortal Kombat: Annihilation (1997),2
"Truman Show, The (1998)",4
"Wings of the Dove, The (1997)",3
Mrs. Dalloway (1997),1
"I Love You, I Love You Not (1996)",0
Red Corner (1997),2
"Jackal, The (1997)",3
Anastasia (1997),3
"Man Who Knew Too Little, The (1997)",3
Alien: Resurrection (1997),4
Alien Escape (1995),1
Amistad (1997),3
"Apostle, The (1997)",4
Artemisia (1997),1
Bent (1997),1
"Big Bang Theory, The (1994)",0
"Boys, Les (1997)",0
"Butcher Boy, The (1998)",2
Deconstructing Harry (1997),3
Flubber (1997),3
For Richer or Poorer (1997),1
Good Will Hunting (1997),4
Guy (1996),0
Harlem River Drive (1996),0
Home Alone 3 (1997),2
Ill Gotten Gains (1997),0
Legal Deceit (1997),0
Man of Her Dreams (1996),0
Midnight in the Garden of Good and Evil (1997),4
Mouse Hunt (1997),3
Never Met Picasso (1996),0
Office Killer (1997),0
"Other Voices, Other Rooms (1997)",0
Scream 2 (1997),4
Stranger in the House (1997),0
"Sweet Hereafter, The (1997)",3
Time Tracers (1995),0
Titanic (1997),4
Tomorrow Never Dies (1997),4
Twisted (1996),0
Full Speed (1996),0
"Education of Little Tree, The (1997)",1
"Postman, The (1997)",2
"Horse Whisperer, The (1998)",3
"Winter Guest, The (1997)",1
Jackie Brown (1997),4
Kundun (1997),3
Mr. Magoo (1997),1
"Big Lebowski, The (1998)",4
Afterglow (1997),2
My Life in Pink (Ma vie en rose) (1997),3
Great Expectations (1998),3
Vermin (1998),0
3 Ninjas: High Noon On Mega Mountain (1998),1
Men of Means (1998),0
"Midaq Alley (Callejón de los milagros, El) (1995)",0
Caught Up (1998),0
Arguing the World (1996),0
Firestorm (1998),2
Senseless (1998),1
Wag the Dog (1997),4
Dark City (1998),4
"Leading Man, The (1996)",0
Star Kid (1997),1
Hard Rain (1998),3
Half Baked (1998),3
Fallen (1998),3
Shooting Fish (1997),1
"Prophecy II, The (1998)",1
Duoluo tianshi (1995),0
Dangerous Beauty (1998),2
Four Days in September (1997),1
Spice World (1997),3
Deep Rising (1998),3
Tainted (1998),0
"Letter From Death Row, A (1998)",0
Music From Another Room (1998),1
Mat' i syn (1997),0
"Replacement Killers, The (1998)",3
B. Monkey (1998),1
Night Flier (1997),1
Blues Brothers 2000 (1998),3
Tokyo Fist (1995),0
Mass Transit (1998),0
Ride (1998),0
"Wedding Singer, The (1998)",4
Sphere (1998),4
Ayn Rand: A Sense of Life (1997),0
"Further Gesture, A (1996)",0
Little City (1998),0
Palmetto (1998),3
As Good As It Gets (1997),4
King of New York (1990),3
"Paralyzing Fear: The Story of Polio in America, A (1998)",0
Men With Guns (1997),2
"Sadness of Sex, The (1995)",0
Twilight (1998),1
U.S. Marshalls (1998),4
Welcome to Woop-Woop (1997),0
Love and Death on Long Island (1997),2
"Callejón de los milagros, El (1995)",0
In God's Hands (1998),0
Everest (1998),2
Hush (1998),1
Suicide Kings (1997),3
"Man in the Iron Mask, The (1998)",3
"Newton Boys, The (1998)",2
Wild Things (1998),4
Paulie (1998),2
"Cool Dry Place, A (1998)",1
Hana-bi (1997),1
Primary Colors (1998),3
"Niagara, Niagara (1997)",0
Wide Awake (1998),1
"Price Above Rubies, A (1998)",1
Eden (1997),0
Two Girls and a Guy (1997),2
No Looking Back (1998),0
Storefront Hitchcock (1997),0
"Proposition, The (1998)",0
"Object of My Affection, The (1998)",3
Meet the Deedles (1998),1
Homegrown (1998),2
"Player's Club, The (1998)",1
Barney's Great Adventure (1998),1
"Big One, The (1997)",2
Chinese Box (1997),1
Follow the Bitch (1998),0
Lost in Space (1998),4
Heaven's Burning (1997),0
Mercury Rising (1998),3
"Spanish Prisoner, The (1997)",4
City of Angels (1998),3
"Last Days of Disco, The (1998)",2
"Odd Couple II, The (1998)",1
My Giant (1998),2
He Got Game (1998),2
"Gingerbread Man, The (1998)",2
Illtown (1996),0
Slappy and the Stinkers (1998),0
Live Flesh (1997),1
Zero Effect (1998),3
Nil By Mouth (1997),1
Ratchet (1996),0
"Borrowers, The (1997)",3
Prince Valiant (1997),0
"I Love You, Don't Touch Me! (1998)",0
Leather Jacket Love Story (1997),0
Love Walked In (1998),0
"Alan Smithee Film: Burn Hollywood Burn, An (1997)",1
Kissing a Fool (1998),1
Krippendorf's Tribe (1998),2
Kurt & Courtney (1998),2
"Real Blonde, The (1997)",1
Mr. Nice Guy (1997),2
Taste of Cherry (1997),1
Character (Karakter) (1997),1
Junk Mail (1997),0
Species II (1998),3
Major League: Back to the Minors (1998),2
Sour Grapes (1998),0
Wild Man Blues (1998),1
"Big Hit, The (1998)",3
Tarzan and the Lost City (1998),1
"Truce, The (1996)",0
Black Dog (1998),1
"Dancer, Texas Pop. 81 (1998)",2
"Friend of the Deceased, A (1997)",0
Go Now (1995),0
"Misérables, Les (1998)",3
Still Breathing (1997),1
Clockwatchers (1997),2
Deep Impact (1998),4
Little Men (1998),0
Woo (1998),0
"Hanging Garden, The (1997)",1
Lawn Dogs (1997),1
Quest for Camelot (1998),2
Godzilla (1998),4
Bulworth (1998),4
Fear and Loathing in Las Vegas (1998),3
"Opposite of Sex, The (1998)",4
I Got the Hook Up (1998),0
Almost Heroes (1998),1
Hope Floats (1998),3
Insomnia (1997),1
Little Boy Blue (1997),0
"Ugly, The (1997)",0
"Perfect Murder, A (1998)",3
Beyond Silence (1996),1
Six Days Seven Nights (1998),4
Can't Hardly Wait (1998),3
Cousin Bette (1998),1
High Art (1998),2
"Land Girls, The (1998)",0
Passion in the Desert (1998),0
"Children of Heaven, The (Bacheha-Ye Aseman) (1997)",1
Dear Jesse (1997),0
Dream for an Insomniac (1996),1
Hav Plenty (1997),0
Henry Fool (1997),2
Marie Baie Des Anges (1997),0
Mr. Jealousy (1997),1
Mulan (1998),4
Resurrection Man (1998),0
"X-Files: Fight the Future, The (1998)",4
I Went Down (1997),1
Doctor Dolittle (1998),4
Out of Sight (1998),4
Picnic at Hanging Rock (1975),2
Smoke Signals (1998),3
Voyage to the Beginning of the World (1997),0
Buffalo 66 (1998),3
Armageddon (1998),4
Lethal Weapon 4 (1998),4
Madeline (1998),2
Small Soldiers (1998),3
Pi (1998),4
Whatever (1998),1
There's Something About Mary (1998),4
Plan 9 from Outer Space (1958),3
Wings (1927),1
"Broadway Melody, The (1929)",1
All Quiet on the Western Front (1930),3
Cimarron (1931),1
Grand Hotel (1932),2
Cavalcade (1933),0
Mutiny on the Bounty (1935),3
"Great Ziegfeld, The (1936)",1
"Life of Émile Zola, The (1937)",1
You Can't Take It With You (1938),2
How Green Was My Valley (1941),2
Mrs. Miniver (1942),2
Going My Way (1944),1
"Lost Weekend, The (1945)",2
"Best Years of Our Lives, The (1946)",3
Gentleman's Agreement (1947),2
Hamlet (1948),2
All the King's Men (1949),2
"Greatest Show on Earth, The (1952)",1
From Here to Eternity (1953),3
On the Waterfront (1954),4
Marty (1955),3
West Side Story (1961),4
Tom Jones (1963),3
"Man for All Seasons, A (1966)",3
In the Heat of the Night (1967),3
